Condition,Time,SleepFactor,ATP,ROS,SeverityScore,BrainState,ConnectivityStatus
Recovery,0.0,1.0,90.0,15.0,0.16666666666666666,Recovery,Partially Restored
Recovery,5.199140860492206e-05,0.9999584086030323,90.0000259946231,15.000015596773864,0.1666598599212268,Recovery,Partially Restored
Recovery,0.00010398281720984411,0.9999168189359089,90.00005198816505,15.000031192899035,0.16665305344840622,Recovery,Partially Restored
Recovery,0.0002458789597864561,0.9998033200536672,90.00012292496646,15.000073754979876,0.16663447841934542,Recovery,Partially Restored
Recovery,0.00038777510236306803,0.9996898326230415,90.0001938546106,15.00011631276636,0.1666159051863793,Recovery,Partially Restored
Recovery,0.00052967124493968,0.9995763575971774,90.00026477650177,15.00015886590106,0.1665973339055235,Recovery,Partially Restored
Recovery,0.0006715673875162919,0.9994628952928278,90.00033569044199,15.000201414265192,0.16657876462864374,Recovery,Partially Restored
Recovery,0.0009575967013057788,0.9992342210127324,90.00047861186705,15.000287167120227,0.16654133948603592,Recovery,Partially Restored
Recovery,0.0014726133307972527,0.9988226081205098,90.0007358699247,15.00044152195481,0.16647397356364116,Recovery,Partially Restored
Recovery,0.00240348546051354,0.998079064136756,90.00120058491454,15.000720350948718,0.16635228010237885,Recovery,Partially Restored
Recovery,0.004418521254376109,0.9964714274701011,90.0022053578312,15.001323214698715,0.16608915190754842,Recovery,Partially Restored
Recovery,0.006433557048238677,0.994866379852942,90.00320851259193,15.00192510755515,0.16582643184870766,Recovery,Partially Restored
Recovery,0.008448592842101246,0.9932639173958597,90.0042100516276,15.002526030976558,0.16556411936523255,Recovery,Partially Restored
Recovery,0.010463628635963815,0.991664036028521,90.00520997748218,15.00312598648931,0.16530221386660418,Recovery,Partially Restored
Recovery,0.01435983383121154,0.9885778631377213,90.00713883553894,15.004283301323362,0.164796954062032,Recovery,Partially Restored
Recovery,0.018256039026459264,0.9855012960445242,90.00906168997219,15.005437013983311,0.16429320945407133,Recovery,Partially Restored
Recovery,0.022152244221706988,0.9824343052297874,90.01097855923139,15.006587135538838,0.1637909757493837,Recovery,Partially Restored
Recovery,0.02604844941695471,0.9793768600546996,90.01288946246582,15.007733677479496,0.16329024846731538,Recovery,Partially Restored
Recovery,0.029944654612202436,0.9763289302113441,90.01479441861791,15.008876651170755,0.162791023177416,Recovery,Partially Restored
Recovery,0.037292360142402434,0.9706067433419171,90.01837078541129,15.01102247124679,0.16185362507594303,Recovery,Partially Restored
Recovery,0.049725936012338864,0.9610001150999526,90.02437492806251,15.014624956837526,0.1602794390211938,Recovery,Partially Restored
Recovery,0.062159511882275295,0.9514885712016482,90.03031964299895,15.01819178579939,0.158720283355273,Recovery,Partially Restored
Recovery,0.07459308775221173,0.9420711657051376,90.03620552143427,15.021723312860582,0.15717601947227391,Recovery,Partially Restored
Recovery,0.08702666362214816,0.9327469661009701,90.04203314618687,15.025219887712144,0.15564651058589477,Recovery,Partially Restored
Recovery,0.09946023949208459,0.9235150517815968,90.04780309263649,15.028681855581908,0.15413162148762985,Recovery,Partially Restored
Recovery,0.11189381536202102,0.9143745109180256,90.05351593067621,15.032109558405748,0.15263121804277366,Recovery,Partially Restored
Recovery,0.12432739123195745,0.9053244394966447,90.05917222531458,15.035503335188768,0.15114516704000444,Recovery,Partially Restored
Recovery,0.1367609671018939,0.896363941833806,90.06477253635386,15.038863521812331,0.1496733362832969,Recovery,Partially Restored
Recovery,0.15689042255645944,0.8820448911188767,90.07372194305069,15.04423316583043,0.147320314054655,Recovery,Partially Restored
Recovery,0.17701987801102498,0.867954581316921,90.0825283866769,15.049517032006165,0.1450036703950761,Recovery,Partially Restored
Recovery,0.19714933346559052,0.8540893582158406,90.09119415111508,15.054716490669069,0.14272286283684285,Recovery,Partially Restored
Recovery,0.23179029279726984,0.8307451374587262,90.10578428908828,15.063470573452987,0.1388801510455761,Recovery,Partially Restored
Recovery,0.26643125212894914,0.8080389661144566,90.11997564617845,15.071985387707088,0.13513931181906033,Recovery,Partially Restored
Recovery,0.30107221146062846,0.7859534061072234,90.13377912118297,15.080267472709801,0.13149773260088155,Recovery,Partially Restored
Recovery,0.3357131707923078,0.7644714955297753,90.14720531529387,15.088323189176343,0.12795286279950083,Recovery,Partially Restored
Recovery,0.3703541301239871,0.7435767352458484,90.16026454047132,15.096158724282814,0.12450221254526797,Recovery,Partially Restored
Recovery,0.4049950894556664,0.7232530768027469,90.17296682699825,15.103780096198978,0.12114335160875886,Recovery,Partially Restored
Recovery,0.43963604878734575,0.7034849105179717,90.18532193092624,15.11119315855577,0.1178739082963898,Recovery,Partially Restored
Recovery,0.47427700811902507,0.684257053519185,90.19733934155047,15.118403604930315,0.11469156828950887,Recovery,Partially Restored
Recovery,0.5199681874931172,0.6596970448849875,90.21268934694685,15.127613608168138,0.11062348396565339,Recovery,Partially Restored
Recovery,0.5656593668672094,0.636018567390013,90.2274883953812,15.136493037228753,0.10669797849919929,Recovery,Partially Restored
Recovery,0.6113505462413016,0.6131899823068737,90.24175626105816,15.14505375663493,0.10291017850098222,Recovery,Partially Restored
Recovery,0.6570417256153938,0.5911807846695294,90.2555120095815,15.153307205748932,0.09925536784149065,Recovery,Partially Restored
Recovery,0.7027329049894859,0.5699615627349701,90.2687740232906,15.161264413974392,0.09572898327163885,Recovery,Partially Restored
Recovery,0.7484240843635781,0.5495039608134409,90.28156002449155,15.168936014694966,0.09232661043007356,Recovery,Partially Restored
Recovery,0.7941152637376703,0.5297806421916015,90.29388709863021,15.176332259178157,0.08904397970593618,Recovery,Partially Restored
Recovery,0.8859422804325626,0.49225724094749523,90.31733922440777,15.190403534644696,0.08279236519871369,Recovery,Partially Restored
Recovery,0.977769297127455,0.4573915612928779,90.3391302741919,15.203478164515179,0.07697597479235838,Recovery,Partially Restored
Recovery,1.036354895387843,0.43644892546227504,90.35221942158603,15.211331652951655,0.07347876341369569,Recovery,Partially Restored
Recovery,1.094940493648231,0.41646518975769964,90.36470925640138,15.21882555384087,0.07013922939967494,Recovery,Partially Restored
Recovery,1.153526091908619,0.3973964515597735,90.37662721777508,15.225976330665093,0.0669503736929603,Recovery,Partially Restored
Recovery,1.212111690169007,0.37920081694010943,90.38799948941237,15.232799693647468,0.06390549764067714,Recovery,Partially Restored
Recovery,1.270697288429395,0.36183830825458957,90.39885105734082,15.239310634404537,0.06099819095511985,Recovery,Partially Restored
Recovery,1.329282886689783,0.34527077821208824,90.40920576361738,15.245523458170474,0.058222320439534785,Recovery,Partially Restored
Recovery,1.387868484950171,0.3294618270781092,90.41908635807611,15.251451814845716,0.05557201894978016,Recovery,Partially Restored
Recovery,1.446454083210559,0.3143767221769004,90.42851454863937,15.257108729183669,0.053041674477550135,Recovery,Partially Restored
Recovery,1.505039681470947,0.2999823208538217,90.4375110494663,15.262506629679823,0.05062591957350437,Recovery,Partially Restored
Recovery,1.563625279731335,0.28624699762592176,90.44609562648374,15.267657375890286,0.04831962125460913,Recovery,Partially Restored
Recovery,1.622210877991723,0.2731405750565761,90.45428714058959,15.27257228435379,0.0461178713382355,Recovery,Partially Restored
Recovery,1.680796476252111,0.2606342576201363,90.46210358898736,15.277262153392455,0.04401597709808707,Recovery,Partially Restored
Recovery,1.739382074512499,0.24870056832377488,90.46956214479758,15.28173728687859,0.04200945221928298,Recovery,Partially Restored
Recovery,1.797967672772887,0.23731328820729794,90.47667919487039,15.286007516922268,0.04009400808786496,Recovery,Partially Restored
Recovery,1.856553271033275,0.2264473987410503,90.4834703757868,15.290082225472112,0.0382655454318368,Recovery,Partially Restored
Recovery,1.915138869293663,0.2160790269268313,90.48995060817067,15.293970364902446,0.03652014629343296,Recovery,Partially Restored
Recovery,1.973724467554051,0.20618539287470627,90.49613412945325,15.297680477671992,0.03485406630573359,Recovery,Partially Restored
Recovery,2.032310065814439,0.19674475973098948,90.50203452516807,15.301220715100886,0.03326372726290677,Recovery,Partially Restored
Recovery,2.090895664074827,0.18773638589761601,90.50766475881393,15.304598855288402,0.03174570998336173,Recovery,Partially Restored
Recovery,2.1494812623352146,0.17914047946373543,90.5130372003351,15.307822320201106,0.0302967474609983,Recovery,Partially Restored
Recovery,2.2080668605956024,0.17093815473460838,90.51816365329081,15.310898191974529,0.028913718292940954,Recovery,Partially Restored
Recovery,2.26665245885599,0.16311139074298386,90.52305538078558,15.313833228471388,0.027593640371448208,Recovery,Partially Restored
Recovery,2.325238057116378,0.155642991651284,90.52772313021788,15.316633878130776,0.02633366483094431,Recovery,Partially Restored
Recovery,2.3838236553767658,0.14851654896721142,90.53217715689543,15.319306294137304,0.025131070242948018,Recovery,Partially Restored
Recovery,2.4424092536371536,0.1417164054940405,90.53642724656616,15.321856347939743,0.023983257050917275,Recovery,Partially Restored
Recovery,2.5009948518975413,0.13522762093327878,90.54048273691664,15.324289642150028,0.02288774223594343,Recovery,Partially Restored
Recovery,2.559580450157929,0.1290359390606513,90.54435253808704,15.326611522852264,0.021842154204340217,Recovery,Partially Restored
Recovery,2.618166048418317,0.12312775640342641,90.5480451522478,15.328827091348723,0.02084422788896592,Recovery,Partially Restored
Recovery,2.6767516466787047,0.11749009235208939,90.55156869227989,15.330941215367973,0.019891800056596964,Recovery,Partially Restored
Recovery,2.7353372449390925,0.11211056064139073,90.55493089959907,15.332958539759487,0.018982804813682946,Recovery,Partially Restored
Recovery,2.7939228431994803,0.10697734213747112,90.55813916116402,15.334883496698456,0.018115269302796083,Recovery,Partially Restored
Recovery,2.852508441459868,0.10207915887065556,90.56120052570579,15.336720315423511,0.01728730958230333,Recovery,Partially Restored
Recovery,2.911094039720256,0.09740524925693247,90.56412171921436,15.338473031528657,0.016497126682119678,Recovery,Partially Restored
Recovery,2.9696796379806436,0.0929453444540215,90.56690915971618,15.340145495829749,0.015743002828663283,Recovery,Partially Restored
Recovery,3.0282652362410314,0.08868964580019183,90.56956897137482,15.341741382824935,0.015023297832309804,Recovery,Partially Restored
Recovery,3.086850834501419,0.08462880328613354,90.57210699794611,15.343264198767708,0.01433644563081803,Recovery,Partially Restored
Recovery,3.145436432761807,0.0807538950124741,90.57452881561714,15.34471728937033,0.013680950982416265,Recovery,Partially Restored
Recovery,3.2040220310221947,0.0770564075878271,90.57683974525754,15.346103847154573,0.013055386302472303,Recovery,Partially Restored
Recovery,3.2626076292825825,0.0735282174243708,90.5790448641097,15.34742691846587,0.012458388637886099,Recovery,Partially Restored
Recovery,3.3211932275429703,0.07016157288987836,90.58114901694377,15.348689410166305,0.011888656773541796,Recovery,Partially Restored
Recovery,3.379778825803358,0.06694907727696096,90.58315682670185,15.349894096021147,0.01134494846535041,Recovery,Partially Restored
Recovery,3.438364424063746,0.06388367255208707,90.58507270465489,15.351043622792975,0.010826077794613469,Recovery,Partially Restored
Recovery,3.4969500223241337,0.06095862384867876,90.58690086009452,15.352140516056753,0.010330912638635425,Recovery,Partially Restored
Recovery,3.5555356205845214,0.05816750467022738,90.58864530958105,15.353187185748672,0.009858372252702818,Recovery,Partially Restored
Recovery,3.6141212188449092,0.05550418277092137,90.59030988576812,15.354185931460911,0.009407424958730617,Recovery,Partially Restored
Recovery,3.672706817105297,0.052962806682760065,90.59189824582322,15.355138947493971,0.008977085936054315,Recovery,Partially Restored
Recovery,3.731292415365685,0.0505377928595495,90.59341387946272,15.356048327677675,0.008566415110020893,Recovery,Partially Restored
Recovery,3.7898780136260726,0.04822381340953603,90.59486011661897,15.35691606997143,0.008174515134201919,Recovery,Partially Restored
Recovery,3.8484636118864604,0.0460157843897279,90.59624013475636,15.357744080853857,0.007800529462216313,Recovery,Partially Restored
Recovery,3.907049210146848,0.04390885463618701,90.59755696585232,15.358534179511434,0.007443640505309214,Recovery,Partially Restored
Recovery,3.965634808407236,0.041898395105749386,90.59881350305884,15.359288101835348,0.007103067871987152,Recovery,Partially Restored
Recovery,4.024220406667624,0.039979988705757,90.60001250705884,15.360007504235346,0.006778066686158864,Recovery,Partially Restored
Recovery,4.0828060049280115,0.03814942058945652,90.60115661213153,15.360693967278959,0.006467925980375251,Recovery,Partially Restored
Recovery,4.141391603188399,0.03640266889574385,90.6022483319401,15.3613489991641,0.0061719671609010585,Recovery,Partially Restored
Recovery,4.199977201448787,0.034735895912909195,90.60329006505437,15.361974039032663,0.005889542541485098,Recovery,Partially Restored
Recovery,4.258562799709175,0.033145439646968644,90.60428410022058,15.36257046013239,0.005620033942825247,Recovery,Partially Restored
Recovery,4.317148397969563,0.03162780577605747,90.6052326213899,15.363139572833983,0.005362851354849288,Recovery,Partially Restored
Recovery,4.37573399622995,0.030179659973208414,90.60613771251668,15.363682627510052,0.0051174316590529316,Recovery,Partially Restored
Recovery,4.434319594490338,0.028797820580647775,90.60700136213703,15.364200817282262,0.0048832374082521,Recovery,Partially Restored
Recovery,4.522448327189822,0.02683740798303951,90.60822662001053,15.364935972006364,0.004550967066636611,Recovery,Partially Restored
Recovery,4.610577059889305,0.025010450966143752,90.60936846814609,15.365621080887701,0.0042412955647405095,Recovery,Partially Restored
Recovery,4.698705792588789,0.023307864298592412,90.61043258481331,15.366259550888033,0.003952687148401012,Recovery,Partially Restored
Recovery,4.786834525288272,0.021721181112687598,90.6114242618045,15.366854557082748,0.0036837102350616544,Recovery,Partially Restored
Recovery,4.874963257987756,0.020242511214720534,90.61234843049073,15.367409058294486,0.003433030437814461,Recovery,Partially Restored
Recovery,4.963091990687239,0.018864501761093885,90.61320968639924,15.367925811839596,0.003199403978130162,Recovery,Partially Restored
Recovery,5.051220723386723,0.017580300402137393,90.61401231224859,15.368407387349205,0.002981671506179461,Recovery,Partially Restored
Recovery,5.139349456086206,0.016383521121292776,90.6147602992991,15.368856179579522,0.0027787523687815762,Recovery,Partially Restored
Recovery,5.22747818878569,0.015268212593743814,90.61545736712883,15.369274420277351,0.002589639296413327,Recovery,Partially Restored
Recovery,5.315606921485173,0.014228828685719773,90.61610698207134,15.369664189242862,0.0024133934461458124,Recovery,Partially Restored
Recovery,5.403735654184657,0.013260200856755723,90.61671237446444,15.370027424678723,0.002249139761138772,Recovery,Partially Restored
Recovery,5.49186438688414,0.012357512403157902,90.61727655474795,15.370365932848822,0.002096062637034781,Recovery,Partially Restored
Recovery,5.579993119583624,0.011516274492836698,90.6178023284419,15.370681397065193,0.00195340188751171,Recovery,Partially Restored
Recovery,5.668121852283107,0.010732303866376844,90.61829231008343,15.370975386050116,0.0018204489883918568,Recovery,Partially Restored
Recovery,5.756250584982591,0.010001702051015185,90.61874893621804,15.371249361730877,0.001696543574841211,Recovery,Partially Restored
Recovery,5.844379317682074,0.009320835969644174,90.6191744775189,15.37150468651139,0.0015810701721315453,Recovery,Partially Restored
Recovery,5.932508050381558,0.00868631986415753,90.61957105008483,15.371742630050948,0.0014734551466849355,Recovery,Partially Restored
Recovery,6.020636783081041,0.008094998457235617,90.61994062596416,15.371964375578544,0.0013731638648782796,Recovery,Partially Restored
Recovery,6.108765515780525,0.007543931266584179,90.62028504295833,15.372171025775039,0.001279698045328924,Recovery,Partially Restored
Recovery,6.1968942484800085,0.00703037798552083,90.620606013759,15.372363608255437,0.0011925932903217584,Recovery,Partially Restored
Recovery,6.285022981179492,0.006551784854999113,90.62090513446557,15.372543080679382,0.001111416783901786,Recovery,Partially Restored
Recovery,6.3731517138789755,0.006105771962536084,90.62118389252336,15.372710335514055,0.0010357651458856568,Recovery,Partially Restored
Recovery,6.461280446578459,0.005690121407361296,90.62144367412034,15.372866204472245,0.0009652624316726613,Recovery,Partially Restored
Recovery,6.5494091792779425,0.005302766272307257,90.62168577107975,15.373011462647892,0.0008995582679166795,Recovery,Partially Restored
Recovery,6.637537911977426,0.0049417803460712045,90.62191138728365,15.37314683237023,0.0008383261146281058,Recovery,Partially Restored
Recovery,6.7256666446769096,0.00460536854442612,90.62212164465967,15.373272986795845,0.0007812616450967583,Recovery,Partially Restored
Recovery,6.813795377376393,0.004291857983402182,90.62231758876031,15.373390553256229,0.0007280812357654364,Recovery,Partially Restored
Recovery,6.901924110075877,0.003999689660480446,90.62250019396213,15.373500116377325,0.000678520558683131,Recovery,Partially Restored
Recovery,6.99005284277536,0.0037274107022761305,90.622670368311,15.373602220986653,0.0006323332695687121,Recovery,Partially Restored
Recovery,7.078181575474844,0.003473667139875178,90.62282895803752,15.373697374822553,0.0005892897849617391,Recovery,Partially Restored
Recovery,7.166310308174327,0.0032371971758586022,90.62297675176502,15.37378605105906,0.0005491761424154879,Recovery,Partially Restored
Recovery,7.254439040873811,0.0030168249096637306,90.6231144844314,15.373868690658883,0.000511792938123385,Recovery,Partially Restored
Recovery,7.342567773573294,0.002811454490154521,90.62324284094359,15.3739457045662,0.00047695433674070897,Recovery,Partially Restored
Recovery,7.430696506272778,0.002620064666287329,90.62336245958352,15.37401747575015,0.00044448714849949967,Recovery,Partially Restored
Recovery,7.518825238972261,0.0024417037087210887,90.623473935182,15.374084361109237,0.0004142299690426883,Recovery,Partially Restored
Recovery,7.606953971671745,0.002275484677114866,90.62357782207677,15.374146693246088,0.0003860323777205286,Recovery,Partially Restored
Recovery,7.739290692501974,0.002046894626660287,90.6237206908583,15.374232414515008,0.0003472538258018319,Recovery,Partially Restored
Recovery,7.871627413332204,0.0018412686137523361,90.62384920711636,15.374309524269849,0.0003123706820315544,Recovery,Partially Restored
Recovery,8.003964134162434,0.0016562994912079675,90.62396481281796,15.374378887690803,0.00028099163374629857,Recovery,Partially Restored
Recovery,8.136300854992664,0.0014899117846349044,90.62406880513457,15.374441283080767,0.0002527646523915684,Recovery,Partially Restored
Recovery,8.268637575822893,0.0013402387966807326,90.62416235075203,15.37449741045125,0.00022737311302478737,Recovery,Partially Restored
Recovery,8.400974296653123,0.0012056015633769013,90.62424649902285,15.374547899413738,0.00020453222729908288,Recovery,Partially Restored
Recovery,8.533311017483353,0.0010844897324236353,90.6243221939172,15.374593316350344,0.00018398580191411514,Recovery,Partially Restored
Recovery,8.665647738313583,0.0009755445440150603,90.62439028465995,15.374634170795998,0.00016550335328530618,Recovery,Partially Restored
Recovery,8.797984459143812,0.0008775437045098498,90.62445153518465,15.374670921110814,0.00014887754294979922,Recovery,Partially Restored
Recovery,8.930321179974042,0.0007893877628894777,90.62450663264816,15.374703979588922,0.00013392186761062428,Recovery,Partially Restored
Recovery,9.062657900804272,0.0007100877538191835,90.62455619515383,15.374733717092322,0.0001204685638098823,Recovery,Partially Restored
Recovery,9.194994621634502,0.0006387540481299366,90.62460077871988,15.374760467231956,0.00010836671723886463,Recovery,Partially Restored
Recovery,9.327331342464731,0.000574586361776652,90.62464088352385,15.374784530114338,9.748056842081737e-05,Recovery,Partially Restored
Recovery,9.459668063294961,0.0005168648016987478,90.62467695949891,15.374806175699367,8.768799417305504e-05,Recovery,Partially Restored
Recovery,9.59200478412519,0.00046494180493737643,90.62470941137188,15.374825646823153,7.887914050441544e-05,Recovery,Partially Restored
Recovery,9.72434150495542,0.00041823486772473865,90.62473860320765,15.374843161924607,7.095518944634552e-05,Recovery,Partially Restored
Recovery,9.85667822578565,0.00037622000004850013,90.62476486249994,15.374858917499987,6.382724889232847e-05,Recovery,Partially Restored
Recovery,9.98901494661588,0.0003384258459632604,90.62478848384625,15.37487309030777,5.741535532623779e-05,Recovery,Partially Restored
Recovery,10.12135166744611,0.0003044284005067594,90.62480973224966,15.374885839349815,5.164757772044924e-05,Recovery,Partially Restored
Recovery,10.25368838827634,0.0002738462555477598,90.62482884609025,15.374897307654175,4.6459211131675135e-05,Recovery,Partially Restored
Recovery,10.38602510910657,0.00024633631940791,90.62484603980033,15.374907623880226,4.179205064403566e-05,Recovery,Partially Restored
Recovery,10.518361829936799,0.00022158996583402366,90.62486150627132,15.374916903762815,3.759373812858177e-05,Recovery,Partially Restored
Recovery,10.650698550767029,0.00019932957154402854,90.62487541901774,15.374925251410675,3.381717490606369e-05,Recovery,Partially Restored
Recovery,10.783035271597258,0.00017930540264210354,90.62488793412331,15.374932760474014,3.041999358074826e-05,Recovery,Partially Restored
Recovery,10.915371992427488,0.0001612928133616529,90.62489919199162,15.374939515194995,2.7364082848990256e-05,Recovery,Partially Restored
Recovery,11.117406347604232,0.0001372214022247942,90.62491423662358,15.374948541974172,2.3280264768638472e-05,Recovery,Partially Restored
Recovery,11.319440702780977,0.00011674279606364799,90.62492703575244,15.374956221451484,1.98059787451229e-05,Recovery,Partially Restored
Recovery,11.521475057957721,9.932057553772141e-05,90.62493792464026,15.374962754784182,1.685022009003773e-05,Recovery,Partially Restored
Recovery,11.723509413134465,8.449828401541014e-05,90.62494718857246,15.374968313143503,1.433554975263755e-05,Recovery,Partially Restored
Recovery,11.92554376831121,7.188786199314643e-05,90.62495507008623,15.37497304205176,1.2196132283216942e-05,Recovery,Partially Restored
Recovery,12.127578123487954,6.11593688173137e-05,90.62496177539447,15.3749770652367,1.0375992160096642e-05,Recovery,Partially Restored
Recovery,12.329612478664698,5.203204882475065e-05,90.62496747996947,15.374980487981698,8.82749817931876e-06,Recovery,Partially Restored
Recovery,12.531646833841442,4.4266912580248666e-05,90.62497233317961,15.37498339990779,7.510104870258926e-06,Recovery,Partially Restored
Recovery,12.733681189018187,3.766060795551755e-05,90.62497646212,15.374985877272024,6.389312726471029e-06,Recovery,Partially Restored
Recovery,12.935715544194931,3.204018667399757e-05,90.6249799748833,15.374987984930005,5.43578034758359e-06,Recovery,Partially Restored
Recovery,13.137749899371675,2.7258547914585802e-05,90.62498296340753,15.37498977804454,4.624551440967639e-06,Recovery,Partially Restored
Recovery,13.33978425454842,2.3190529144294306e-05,90.62498550591927,15.37499130355158,3.93439162420606e-06,Recovery,Partially Restored
Recovery,13.541818609725164,1.972962127739791e-05,90.62498766898669,15.37499260139203,3.3472311441987468e-06,Recovery,Partially Restored
Recovery,13.743852964901908,1.6785207763969077e-05,90.62498950924513,15.374993705547098,2.8476964810130825e-06,Recovery,Partially Restored
Recovery,13.945887320078652,1.4280207862307858e-05,90.62499107487007,15.37499464492206,2.4227105217584927e-06,Recovery,Partially Restored
Recovery,14.147921675255397,1.2149050688229725e-05,90.62499240684329,15.374995444106,2.0611488511158194e-06,Recovery,Partially Restored
Recovery,14.453416657674191,9.51509914104161e-06,90.624994053063,15.37499643183783,1.614285516603059e-06,Recovery,Partially Restored
Recovery,14.758911640092986,7.452561118207325e-06,90.62499534214928,15.374997205289588,1.2643653765948982e-06,Recovery,Partially Restored
Recovery,15.06440662251178,5.837305238343459e-06,90.6249963516842,15.374997811010543,9.903289255146342e-07,Recovery,Partially Restored
Recovery,15.369901604930575,4.572051537249196e-06,90.62499714246776,15.37499828548068,7.756721297968973e-07,Recovery,Partially Restored
Recovery,15.67539658734937,3.5808969065256325e-06,90.62499776193941,15.374998657163667,6.075176440158281e-07,Recovery,Partially Restored
Recovery,15.980891569768165,2.804584078922323e-06,90.62499824713493,15.374998948280979,4.758121721139954e-07,Recovery,Partially Restored
Recovery,16.286386552186958,2.1966308995996805e-06,90.62499862710565,15.37499917626342,3.7266977968039833e-07,Recovery,Partially Restored
Recovery,16.59188153460575,1.7204982029120691e-06,90.6249989246886,15.374999354813182,2.918914104673596e-07,Recovery,Partially Restored
Recovery,16.897376517024544,1.3475490675761493e-06,90.62499915778182,15.374999494669108,2.2861866400631083e-07,Recovery,Partially Restored
Recovery,17.202871499443336,1.0554162521688405e-06,90.62499934036482,15.374999604218914,1.7905682292407515e-07,Recovery,Partially Restored
Recovery,17.50836648186213,8.266146648015176e-07,90.62499948336581,15.374999690019509,1.402394514487328e-07,Recovery,Partially Restored
Recovery,17.99399034885864,5.60778297547223e-07,90.62499964951354,15.374999789708147,9.513893782296669e-08,Recovery,Partially Restored
Recovery,18.479614215855154,3.809161460530649e-07,90.62499976192738,15.374999857156453,6.462439400319733e-08,Recovery,Partially Restored
Recovery,18.965238082851666,2.5901800205063913e-07,90.62499983811372,15.374999902868257,4.394374359706037e-08,Recovery,Partially Restored
