ATP_Healthy

t	(Var=ATP) ATP
3.909045463636105	100.59760075720192
3.9662971647603524	100.59882737496078
4.0235488658845995	100.59999907911718
4.080800567008847	100.60111832806025
4.1380522681330945	100.60218747012115
4.195303969257342	100.60320874850026
4.252555670381589	100.60418430597366
4.338681345999792	100.60557022484068
4.424807021617994	100.6068638682975
4.510932697236196	100.60807138023459
4.5970583728543986	100.60919849555107
4.683184048472601	100.61025056713048
4.769309724090803	100.6112325913174
4.855435399709005	100.61214923182942
4.941561075327208	100.61300484196
5.02768675094541	100.61380348518134
5.113812426563612	100.61454895438355
5.1999381021818145	100.61524478989914
5.286063777800017	100.61589429635093
5.372189453418219	100.61650055835447
5.458315129036421	100.61706645515315
5.544440804654624	100.61759467428193
5.630566480272826	100.61808772433406
5.716692155891028	100.61854794688121
5.8028178315092305	100.61897752759508
5.888943507127433	100.6193785066247
5.975069182745635	100.61975278828362
6.061194858363837	100.62010215009457
6.14732053398204	100.62042825123235
6.233446209600242	100.62073264040372
6.319571885218444	100.6210167632018
6.405697560836646	100.62128196897119
6.491823236454849	100.62152951721637
6.577948912073051	100.62176058358352
6.664074587691253	100.62197626544385
6.7502002633094556	100.62217758710504
6.836325938927658	100.62236550467588
6.92245161454586	100.62254091060694
7.008577290164062	100.62270463792905
7.094702965782265	100.62285746420945
7.180828641400467	100.62300011524462
7.266954317018669	100.62313326850716
7.3530799926368715	100.62325755636319
7.439205668255074	100.62337356907561
7.568720125625971	100.62353364966964
7.698234582996868	100.62367797416732
7.827749040367765	100.6238080934988
7.957263497738662	100.62392540600712
8.086777955109559	100.62403117222914
8.216292412480456	100.62412652850239
8.345806869851353	100.62421249935404
8.47532132722225	100.62429000855684
8.604835784593147	100.62435988898184
8.734350241964044	100.62442289149163
8.863864699334941	100.62447969302208
8.993379156705839	100.62453090389006
9.122893614076736	100.624577074358
9.252408071447633	100.62461870053146
9.38192252881853	100.62465622968
9.511436986189427	100.62469006504689
9.640951443560324	100.62472057018839
9.770465900931221	100.6247480728809
9.899980358302118	100.62477286863988
10.029494815673015	100.62479522389341
10.159009273043912	100.62481537884588
10.28852373041481	100.62483355006019
10.418038187785706	100.6248499327847
10.547552645156603	100.62486470305058
10.6770671025275	100.62487801956297
10.872995960805449	100.62489571588341
11.068924819083398	100.62491084467422
11.264853677361346	100.624923778563
11.460782535639295	100.62493483617327
11.656711393917243	100.62494428973267
11.852640252195192	100.62495237185001
12.04856911047314	100.62495928142366
12.244497968751089	100.62496518857928
12.440426827029038	100.62497023877923
12.636355685306986	100.6249745563485
12.832284543584935	100.62497824755332
13.028213401862883	100.62498140325269
13.224142260140832	100.6249841011402
13.42007111841878	100.6249864076397
13.61599997669673	100.6249883795311
13.811928834974678	100.62499006535316
14.007857693252626	100.62499150660531
14.305535878544426	100.6249933062947
14.603214063836225	100.62499472442468
14.900892249128024	100.62499584199143
15.198570434419823	100.62499672286704
15.496248619711622	100.62499741721885
15.793926805003421	100.62499796446937
16.09160499029522	100.62499839572993
16.38928317558702	100.62499873560036
16.686961360878822	100.62499900348041
16.984639546170623	100.62499921462283
17.282317731462424	100.62499938102843
17.753040037844006	100.62499957508965
18.223762344225587	100.62499970801342
18.69448465060717	100.62499979918748
19.16520695698875	100.62499986195223
19.635929263370333	100.62499990521441
20.106651569751914	100.62499993493655
20.881392722669148	100.62499996455061
21.65613387558638	100.62499997983029
22.430875028503614	100.62499998807064
23.205616181420847	100.6249999931587
23.98035733433808	100.62499999638561
24.755098487255314	100.62499999810282
25.529839640172547	100.62499999884933
26.30458079308978	100.62499999925953
27.529839640172547	100.62499999962883
28.30458079308978	100.62499999979981
29.529839640172547	100.62499999998695
30.30458079308978	100.62500000000617
31.529839640172547	100.62499999996942
32.304580793089784	100.62499999997452
33.52983964017255	100.62500000000965
34.304580793089784	100.62500000001127
35.52983964017255	100.62499999999493
36.304580793089784	100.62499999999407
37.52983964017255	100.62500000000239
38.304580793089784	100.62500000000294
39.52983964017255	100.62499999999892
40.304580793089784	100.6249999999986
41.52983964017255	100.62500000000047
42.304580793089784	100.62500000000063
43.52983964017255	100.62499999999976
44.304580793089784	100.62499999999967
45.52983964017255	100.62500000000007
46.304580793089784	100.6250000000001
47.52983964017255	100.62499999999991
48.304580793089784	100.6249999999999
49.52983964017255	100.62499999999999
50.304580793089784	100.62499999999999
51.52983964017255	100.62499999999996
52.304580793089784	100.62499999999994
53.52983964017255	100.62499999999996
54.304580793089784	100.62499999999996
55.52983964017255	100.62499999999994
56.304580793089784	100.62499999999994
57.52983964017255	100.62499999999994
58.304580793089784	100.62499999999994
59.52983964017255	100.62499999999994
60.304580793089784	100.62499999999994
61.52983964017255	100.62499999999994
62.304580793089784	100.62499999999994
63.52983964017255	100.62499999999994
64.30458079308978	100.62499999999994
65.52983964017255	100.62499999999994
66.30458079308978	100.62499999999994
67.52983964017255	100.62499999999994
68.30458079308978	100.62499999999994
69.52983964017255	100.62499999999994
70.30458079308978	100.62499999999994
71.52983964017255	100.62499999999994
72.30458079308978	100.62499999999994
